,text,cui,name,start,end,substance_category,allergy_type,severity
503,had anaphylaxis with mepolizumab,31201911000001104,mepolizumab,21,32,adverse reaction,allergy,severe
504,had anaphylaxis due to coumarin,10565311000001102,coumarin,23,31,adverse reaction,allergy,severe
505,had anaphylaxis with inotuzumab ozogamicin,34665611000001104,inotuzumab ozogamicin,21,42,adverse reaction,allergy,severe
506,had anaphylaxis with pipobroman,20439311000001104,pipobroman,21,31,adverse reaction,allergy,severe
507,experienced anaphylaxis due to polyethylene oxide,22373711000001100,polyethylene oxide,31,49,adverse reaction,allergy,severe
508,experienced anaphylaxis due to benzathine benzylpenicillin,13294901000001107,benzathine benzylpenicillin,31,58,adverse reaction,allergy,severe
509,experienced anaphylaxis due to alanine powder,38716411000001104,alanine powder,31,45,adverse reaction,allergy,severe
510,had anaphylaxis due to wheat dextrin,11788811000001107,wheat dextrin,23,36,adverse reaction,allergy,severe
511,experienced anaphylaxis due to vonicog alfa,38721211000001100,vonicog alfa,31,43,adverse reaction,allergy,severe
512,experienced anaphylaxis with dupilumab,34952011000001109,dupilumab,29,38,adverse reaction,allergy,severe
513,experienced anaphylaxis with zinc hyaluronate,34247111000001106,zinc hyaluronate,29,45,adverse reaction,allergy,severe
514,experienced anaphylaxis due to dried yeast,10569311000001100,dried yeast,31,42,adverse reaction,allergy,severe
515,experienced anaphylaxis with tisagenlecleucel,38108211000001107,tisagenlecleucel,29,45,adverse reaction,allergy,severe
516,had anaphylaxis due to amifampridine,72181000001101,amifampridine,23,36,adverse reaction,allergy,severe
517,experienced anaphylaxis with icosapent,40337911000001103,icosapent,29,38,adverse reaction,allergy,severe
518,experienced anaphylaxis with romosozumab,38186711000001103,romosozumab,29,40,adverse reaction,allergy,severe
519,had anaphylaxis due to multivitamin capsules,10328511000001105,multivitamin capsules,23,44,adverse reaction,allergy,severe
520,had anaphylaxis due to homeopathic hamamelis,9873111000001109,homeopathic hamamelis,23,44,adverse reaction,allergy,severe
521,had anaphylaxis with larvae sterile,9003511000001109,larvae sterile,21,35,adverse reaction,allergy,severe
522,experienced anaphylaxis due to ipecacuanha tincture,5174811000001101,ipecacuanha tincture,31,51,adverse reaction,allergy,severe
523,recently stopped taking isavuconazole,31010011000001101,isavuconazole,24,37,irrelevant,nan,nan
524,recently stopped taking lusutrombopag,37930811000001108,lusutrombopag,24,37,irrelevant,nan,nan
525,recently stopped taking eteplirsen,40584811000001109,eteplirsen,24,34,irrelevant,nan,nan
526,recently stopped taking besilesomab,39477711000001106,besilesomab,24,35,irrelevant,nan,nan
527,recently stopped taking perindopril tosilate,22209211000001106,perindopril tosilate,24,44,irrelevant,nan,nan
528,recently stopped taking chloroquine sulphate,13591011000001104,chloroquine sulphate,24,44,irrelevant,nan,nan
529,recently stopped taking herbal cream,7991911000001103,herbal cream,24,36,irrelevant,nan,nan
530,recently stopped taking l-ornithine-l-aspartate,23993111000001107,l-ornithine-l-aspartate,24,47,irrelevant,nan,nan
531,recently stopped taking supportan drink,17236411000001109,supportan drink,24,39,irrelevant,nan,nan
532,recently stopped taking amifampridine,72181000001101,amifampridine,24,37,irrelevant,nan,nan
533,recently stopped taking calcium ascorbate,13296501000001106,calcium ascorbate,24,41,irrelevant,nan,nan
534,recently stopped taking sodium phenylbutyrate,230391000001105,sodium phenylbutyrate,24,45,irrelevant,nan,nan
535,recently stopped taking testosterone enantate,13570211000001109,testosterone enantate,24,45,irrelevant,nan,nan
536,recently stopped taking abemaciclib,36196311000001105,abemaciclib,24,35,irrelevant,nan,nan
537,recently stopped taking secretin pentahydrochloride,36505511000001101,secretin pentahydrochloride,24,51,irrelevant,nan,nan
538,recently stopped taking tenofovir disoproxil,30934411000001109,tenofovir disoproxil,24,44,irrelevant,nan,nan
539,recently stopped taking creatine,27945611000001103,creatine,24,32,irrelevant,nan,nan
540,recently stopped taking voretigene neparvovec,38008011000001107,voretigene neparvovec,24,45,irrelevant,nan,nan
541,recently stopped taking benzathine benzylpenicillin,13294901000001107,benzathine benzylpenicillin,24,51,irrelevant,nan,nan
542,recently stopped taking bempedoic,38924911000001101,bempedoic,24,33,irrelevant,nan,nan
543,not keen on taking squill oxymel,5241411000001101,squill oxymel,19,32,irrelevant,nan,nan
544,not keen on taking pegcetacoplan,40555711000001107,pegcetacoplan,19,32,irrelevant,nan,nan
545,not keen on taking haem arginate,13297901000001100,haem arginate,19,32,irrelevant,nan,nan
546,not keen on taking amifampridine,72181000001101,amifampridine,19,32,irrelevant,nan,nan
547,not keen on taking safinamide,32684811000001105,safinamide,19,29,irrelevant,nan,nan
548,not keen on taking didecyldimethylammonium chloride,19447211000001102,didecyldimethylammonium chloride,19,51,irrelevant,nan,nan
549,not keen on taking co-beneldopa,18036811000001106,co-beneldopa,19,31,irrelevant,nan,nan
550,not keen on taking emulsifying ointment,14608311000001101,emulsifying ointment,19,39,irrelevant,nan,nan
551,not keen on taking cannabidiol,35022511000001100,cannabidiol,19,30,irrelevant,nan,nan
552,not keen on taking glycerol liquid,4217811000001106,glycerol liquid,19,34,irrelevant,nan,nan
553,not keen on taking venetoclax,33686611000001109,venetoclax,19,29,irrelevant,nan,nan
554,not keen on taking sucroferric oxyhydroxide,28453911000001100,sucroferric oxyhydroxide,19,43,irrelevant,nan,nan
555,not keen on taking supportan drink,17236411000001109,supportan drink,19,34,irrelevant,nan,nan
556,not keen on taking sodium perchlorate,21864511000001101,sodium perchlorate,19,37,irrelevant,nan,nan
557,not keen on taking ajmaline,22466911000001109,ajmaline,19,27,irrelevant,nan,nan
558,not keen on taking alpelisib,38924711000001103,alpelisib,19,28,irrelevant,nan,nan
559,not keen on taking selpercatinib,39482711000001104,selpercatinib,19,32,irrelevant,nan,nan
560,not keen on taking kaolin poultices,14614411000001101,kaolin poultices,19,35,irrelevant,nan,nan
561,not keen on taking gilteritinib,37898211000001109,gilteritinib,19,31,irrelevant,nan,nan
562,not keen on taking metronidazole powder,10824711000001106,metronidazole powder,19,39,irrelevant,nan,nan
