text,cui,name,start,end,relevance,presence,laterality (generic)
poss chronic nonspecific lung disease,37180002,chronic nonspecific lung disease,5,37,present,suspected,none
subretinal lipid deposit suspected,247157006,subretinal lipid deposit,0,24,present,suspected,none
susp congenital enlargement of nasopharynx,50267003,congenital enlargement of nasopharynx,5,42,present,suspected,none
suspicion of polymyositis/scleroderma overlap syndrome,905371000000106,polymyositis/scleroderma overlap syndrome,13,54,present,suspected,none
maybe fracture of multiple ribs,1261007,fracture of multiple ribs,6,31,present,suspected,none
uncomplicated allergic asthma suspected,735588005,uncomplicated allergic asthma,0,29,present,suspected,none
pos injury of bile duct,127313006,injury of bile duct,4,23,present,suspected,none
sus penile hypermelanosis,238704004,penile hypermelanosis,4,25,present,suspected,none
prob accidental nabilone poisoning,290413004,accidental nabilone poisoning,5,34,present,suspected,none
may subacute bacterial endocarditis,73774007,subacute bacterial endocarditis,4,35,present,suspected,none
probable pneumonia caused by streptococcus,34020007,pneumonia caused by streptococcus,9,42,present,suspected,none
prob intentional moclobemide poisoning,290878009,intentional moclobemide poisoning,5,38,present,suspected,none
query deficiency of macronutrients,238107002,deficiency of macronutrients,6,34,present,suspected,none
query metastatic calcification,309760004,metastatic calcification,6,30,present,suspected,none
could be tracheobronchitis,13617004,tracheobronchitis,9,26,present,suspected,none
query medicago denticulatum poisoning,17582006,medicago denticulatum poisoning,6,37,present,suspected,none
query female coital disorder,312446008,female coital disorder,6,28,present,suspected,none
could be cystocele affecting obstetric care,237204003,cystocele affecting obstetric care,9,43,present,suspected,none
? localized vascularization of cornea,4873000,localized vascularization of cornea,2,37,present,suspected,none
"exclude cutis laxa, acquired type",19726003,"cutis laxa, acquired type",8,33,present,suspected,none
? tracheal lymphadenopathy,127106000,tracheal lymphadenopathy,2,26,present,suspected,none
quer congenital bronchiectasis,77593006,congenital bronchiectasis,5,30,present,suspected,none
exclude traumatic balanitis,403462002,traumatic balanitis,8,27,present,suspected,none
could be subacute obliterative bronchiolitis,22482002,subacute obliterative bronchiolitis,9,44,present,suspected,none
quer drug dependence,191816009,drug dependence,5,20,present,suspected,none
probable tropical ataxic neuropathy,46138007,tropical ataxic neuropathy,9,35,present,suspected,none
could have coxsackie myocarditis,37217002,coxsackie myocarditis,11,32,present,suspected,none
sus anterior mediastinal lymphadenopathy,127109007,anterior mediastinal lymphadenopathy,4,40,present,suspected,none
suspicion of retained placenta,109894007,retained placenta,13,30,present,suspected,none
probably deficiency of pepsin b,124502000,deficiency of pepsin b,9,31,present,suspected,none
suspected hypoplasia of optic disc,373650004,hypoplasia of optic disc,10,34,present,suspected,none
susp overcurvature of nail,247487009,overcurvature of nail,5,26,present,suspected,none
suspected gastric xanthelasma,315057000,gastric xanthelasma,10,29,present,suspected,none
possible granuloma of brainstem,860852000,granuloma of brainstem,9,31,present,suspected,none
exclude pulmonary histoplasmosis,187054003,pulmonary histoplasmosis,8,32,present,suspected,none
likely angry back syndrome,402245001,angry back syndrome,7,26,present,suspected,none
quer neoplasm of mouth,126797001,neoplasm of mouth,5,22,present,suspected,none
poss intentional chlormethiazole poisoning,291119004,intentional chlormethiazole poisoning,5,42,present,suspected,none
possibly mitral papillary muscle rupture,266250003,mitral papillary muscle rupture,9,40,present,suspected,none
? psychosocial growth hormone deficiency,237691008,psychosocial growth hormone deficiency,2,40,present,suspected,none
probably parasternal lymphadenopathy,127107009,parasternal lymphadenopathy,9,36,present,suspected,none
may be malignant glioma of hypothalamus,87111000119109,malignant glioma of hypothalamus,7,39,present,suspected,none
maybe ras-associated autoimmune leukoproliferative disease,723508002,ras-associated autoimmune leukoproliferative disease,6,58,present,suspected,none
exclude isodicentric chromosome 15 syndrome,723332005,isodicentric chromosome 15 syndrome,8,43,present,suspected,none
could be open wound of hand,125652005,open wound of hand,9,27,present,suspected,none
likely congenital bladder neck stenosis,268236002,congenital bladder neck stenosis,7,39,present,suspected,none
susp semicircular lipoatrophy,238898001,semicircular lipoatrophy,5,29,present,suspected,none
persistent embryonic otic artery suspected,253196005,persistent embryonic otic artery,0,32,present,suspected,none
suspect 16p13.3 microduplication syndrome,733473000,16p13.3 microduplication syndrome,8,41,present,suspected,none
susp cellulitis of pectoral region,2385003,cellulitis of pectoral region,5,34,present,suspected,none
suspicion of complication of ultrasound therapy,1395008,complication of ultrasound therapy,13,47,present,suspected,none
probably congenital lordosis/scoliosis,287087003,congenital lordosis/scoliosis,9,38,present,suspected,none
may infected eczema,400079002,infected eczema,4,19,present,suspected,none
suspicious sinus pericranii,50751005,sinus pericranii,11,27,present,suspected,none
may be late effect of rickets,190641005,late effect of rickets,7,29,present,suspected,none
hemophilia suspected,90935002,hemophilia,0,10,present,suspected,none
multicentric infantile myofibromatosis suspected,403410004,multicentric infantile myofibromatosis,0,38,present,suspected,none
sus mepenzolate adverse reaction,292152008,mepenzolate adverse reaction,4,32,present,suspected,none
quer pulmonary valve prolapse,253595004,pulmonary valve prolapse,5,29,present,suspected,none
sus klinefelter syndrome,22053006,klinefelter syndrome,4,24,present,suspected,none
sus arthritis of bilateral elbows,1074711000119108,arthritis of bilateral elbows,4,33,present,suspected,bilateral
may disorder of wrist region,128130001,disorder of wrist region,4,28,present,suspected,none
amsinckia species poisoning suspected,1897008,amsinckia species poisoning,0,27,present,suspected,none
suspicious epiphora,193982009,epiphora,11,19,present,suspected,none
could be congenital stricture of rectum,39476006,congenital stricture of rectum,9,39,present,suspected,none
poss complication of patch testing,402575005,complication of patch testing,5,34,present,suspected,none
quer iodotyrosyl coupling defect,23536000,iodotyrosyl coupling defect,5,32,present,suspected,none
suspicion of flucytosine overdose,296531007,flucytosine overdose,13,33,present,suspected,none
"pos closed injury, supraclavicular nerve",212289005,"closed injury, supraclavicular nerve",4,40,present,suspected,none
prob acquired inhibitor of coagulation,282707003,acquired inhibitor of coagulation,5,38,present,suspected,none
suspicious disorder of apocrine secretion,402646008,disorder of apocrine secretion,11,41,present,suspected,none
flexural darier's disease suspected,403783009,flexural darier's disease,0,25,present,suspected,none
may be infection of fibula,203234008,infection of fibula,7,26,present,suspected,none
sus staghorn calculus,197794008,staghorn calculus,4,21,present,suspected,none
gas gangrene of forearm suspected,186418003,gas gangrene of forearm,0,23,present,suspected,none
probable syphilitic endocarditis,67391006,syphilitic endocarditis,9,32,present,suspected,none
prob fracture subluxation of thumb,263111004,fracture subluxation of thumb,5,34,present,suspected,none
may be medial external iliac lymphadenopathy,127167006,medial external iliac lymphadenopathy,7,44,present,suspected,none
probably ocular cryptococcosis,417254001,ocular cryptococcosis,9,30,present,suspected,none
sarcoma of kidney suspected,254918001,sarcoma of kidney,0,17,present,suspected,none
probably aortopulmonary coronary arterial course,780842009,aortopulmonary coronary arterial course,9,48,present,suspected,none
probable granulomatous foreign body gingivitis,449764009,granulomatous foreign body gingivitis,9,46,present,suspected,none
may be hemorrhage of transplanted vein,234077006,hemorrhage of transplanted vein,7,38,present,suspected,none
necrotising enterocolitis suspected,805601000000103,necrotising enterocolitis,0,25,present,suspected,none
exclude ulcer of trachea,3229001,ulcer of trachea,8,24,present,suspected,none
schistosomiasis of ureter suspected,236599009,schistosomiasis of ureter,0,25,present,suspected,none
? disorder of breast,79604008,disorder of breast,2,20,present,suspected,none
suspected accidental electrolyte agent poisoning,291938009,accidental electrolyte agent poisoning,10,48,present,suspected,none
quer torsion of spermatic cord,49198006,torsion of spermatic cord,5,30,present,suspected,none
suspicion of vertical gaze palsy,246773002,vertical gaze palsy,13,32,present,suspected,none
maybe eclampsia in labor,237283007,eclampsia in labor,6,24,present,suspected,none
could have scarring due to treatment,402169007,scarring due to treatment,11,36,present,suspected,none
susp pterygium of nail,110987009,pterygium of nail,5,22,present,suspected,none
tuberculosis of seminal vesicle suspected,12985005,tuberculosis of seminal vesicle,0,31,present,suspected,none
probably uterus cordiformis,14689000,uterus cordiformis,9,27,present,suspected,none
query severe hypothyroidism,83986005,severe hypothyroidism,6,27,present,suspected,none
suspect trimalleolar fracture,123975002,trimalleolar fracture,8,29,present,suspected,none
probable accidental droperidol overdose,296192008,accidental droperidol overdose,9,39,present,suspected,none
"serous conjunctivitis, except viral suspected",9824006,"serous conjunctivitis, except viral",0,35,present,suspected,none
prob tetracyclines group adverse reaction,293047005,tetracyclines group adverse reaction,5,41,present,suspected,none
exclude persistent idiopathic facial pain,785723001,persistent idiopathic facial pain,8,41,present,suspected,none
probably localized granuloma annulare,402363004,localized granuloma annulare,9,37,present,suspected,none
suspect reactive airways dysfunction syndrome,371088008,reactive airways dysfunction syndrome,8,45,present,suspected,none
may be corneal abrasion,85848002,corneal abrasion,7,23,present,suspected,none
quer post-mastectomy chronic pain syndrome,714252004,post-mastectomy chronic pain syndrome,5,42,present,suspected,none
quer circumstances interfere with sleep,248258007,circumstances interfere with sleep,5,39,present,suspected,none
quer chronic cerebral ischemia,111298007,chronic cerebral ischemia,5,30,present,suspected,none
sus primary hyposomnia,105491000119107,primary hyposomnia,4,22,present,suspected,none
exclude gluteal lymphadenopathy,127174001,gluteal lymphadenopathy,8,31,present,suspected,none
may be minamata disease,39640004,minamata disease,7,23,present,suspected,none
susp maroek poisoning,51912001,maroek poisoning,5,21,present,suspected,none
prob spondyloepimetaphyseal dysplasia isidor type,782821004,spondyloepimetaphyseal dysplasia isidor type,5,49,present,suspected,none
exclude gouty tophi of toe,1033961000000104,gouty tophi of toe,8,26,present,suspected,none
could be transient hypertension of pregnancy,237279007,transient hypertension of pregnancy,9,44,present,suspected,none
pos isolated persistent neonatal hypoparathyroidism,26267006,isolated persistent neonatal hypoparathyroidism,4,51,present,suspected,none
likely delayed delivery of triplet,237321009,delayed delivery of triplet,7,34,present,suspected,none
probably lamellar zonular cataract,193577007,lamellar zonular cataract,9,34,present,suspected,none
family iridaceae poisoning suspected,123917001,family iridaceae poisoning,0,26,present,suspected,none
probably congenital extrapericardial cyst,472778003,congenital extrapericardial cyst,9,41,present,suspected,none
accidental diiodohydroxyquinoline poisoning suspected,291673009,accidental diiodohydroxyquinoline poisoning,0,43,present,suspected,none
lysergic acid diethylamide dependence suspected,231468005,lysergic acid diethylamide dependence,0,37,present,suspected,none
may be phacomorphic glaucoma,392300000,phacomorphic glaucoma,7,28,present,suspected,none
probably cataract glaucoma syndrome,718851007,cataract glaucoma syndrome,9,35,present,suspected,bilateral
triclosan adverse reaction suspected,292877006,triclosan adverse reaction,0,26,present,suspected,none
possible intentional triethylene thiophosphoramide poisoning,290592006,intentional triethylene thiophosphoramide poisoning,9,60,present,suspected,none
poss nondependent abuse of tobacco,890112007,nondependent abuse of tobacco,5,34,present,suspected,none
? infection causing spondyloarthritis,721272009,infection causing spondyloarthritis,2,37,present,suspected,none
may be exhausted platelets,297307009,exhausted platelets,7,26,present,suspected,none
sus avulsion of toenail,430903001,avulsion of toenail,4,23,present,suspected,none
poss diffuse endocapillary proliferative glomerulonephritis,3704008,diffuse endocapillary proliferative glomerulonephritis,5,59,present,suspected,none
sus laryngotracheobronchitis,85915003,laryngotracheobronchitis,4,28,present,suspected,none
possible bleeding external hemorrhoids,26421009,bleeding external hemorrhoids,9,38,present,suspected,none
suspicious acute laryngopharyngitis,55355000,acute laryngopharyngitis,11,35,present,suspected,none
pos chronic osteomyelitis of hip,287055001,chronic osteomyelitis of hip,4,32,present,suspected,none
possibly accidental carmustine poisoning,290624007,accidental carmustine poisoning,9,40,present,suspected,none
suspect intentional lansoprazole overdose,295378004,intentional lansoprazole overdose,8,41,present,suspected,none
suspicion of deficiency of n-methyl-l-amino-acid oxidase,124182008,deficiency of n-methyl-l-amino-acid oxidase,13,56,present,suspected,none
may be prayer nodule,238463006,prayer nodule,7,20,present,suspected,none
suspicion of myofibrillar myopathy,699269005,myofibrillar myopathy,13,34,present,suspected,none
susp fractured laryngeal cartilage,295723007,fractured laryngeal cartilage,5,34,present,suspected,none
suspicion of burn of skin,284196006,burn of skin,13,25,present,suspected,none
pos ainhum,38528001,ainhum,4,10,present,suspected,none
may be subcutaneous granuloma annulare,402366007,subcutaneous granuloma annulare,7,38,present,suspected,none
septuplet pregnancy suspected,38720006,septuplet pregnancy,0,19,present,suspected,none
possibly acute disease of bone,127336002,acute disease of bone,9,30,present,suspected,none
likely trichomonal vulvovaginitis,81598001,trichomonal vulvovaginitis,7,33,present,suspected,none
maybe brachyolmia - maroteaux type,389165004,brachyolmia - maroteaux type,6,34,present,suspected,none
osteomalacia secondary to pregnancy suspected,240167004,osteomalacia secondary to pregnancy,0,35,present,suspected,none
poss multiple wounds of nose,210330008,multiple wounds of nose,5,28,present,suspected,none
suspected amphotericin b overdose,296539009,amphotericin b overdose,10,33,present,suspected,none
maybe cardiovascular sequelae of disorders,363004000,cardiovascular sequelae of disorders,6,42,present,suspected,none
pos autoimmune pancreatitis,448542008,autoimmune pancreatitis,4,27,present,suspected,none
accidental antimycobacterial sulfone poisoning suspected,1155737004,accidental antimycobacterial sulfone poisoning,0,46,present,suspected,none
may be intentional dothiepin overdose,295858004,intentional dothiepin overdose,7,37,present,suspected,none
may blood blister,285355007,blood blister,4,17,present,suspected,none
probably cole-carpenter dysplasia,389199001,cole-carpenter dysplasia,9,33,present,suspected,none
sus glutaric aciduria,28987007,glutaric aciduria,4,21,present,suspected,none
may disorder of extremity,128605003,disorder of extremity,4,25,present,suspected,none
suspicious psychogenic paranoid psychosis,191680007,psychogenic paranoid psychosis,11,41,present,suspected,none
quer triangular fibrocartilage detachment,202334004,triangular fibrocartilage detachment,5,41,present,suspected,none
suspect cardiomyopathy in myotonic dystrophy,195031006,cardiomyopathy in myotonic dystrophy,8,44,present,suspected,none
may essential hypertension,59621000,essential hypertension,4,26,present,suspected,none
prob isolated cervical dystonia,230322000,isolated cervical dystonia,5,31,present,suspected,none
query streptococcal toxic shock syndrome,240451000,streptococcal toxic shock syndrome,6,40,present,suspected,none
possibly glaucoma of childhood,71111008,glaucoma of childhood,9,30,present,suspected,none
? radiation damage to artery,234018007,radiation damage to artery,2,28,present,suspected,none
prob modified smallpox,51423006,modified smallpox,5,22,present,suspected,none
likely synotus,77471004,synotus,7,14,present,suspected,none
probable single right ventricle,109425008,single right ventricle,9,31,present,suspected,none
suspected drug-induced interstitial lung disorder,196051003,drug-induced interstitial lung disorder,10,49,present,suspected,none
suspicion of degenerative spondylolisthesis,4046000,degenerative spondylolisthesis,13,43,present,suspected,none
probable aseptic meningitis,301770000,aseptic meningitis,9,27,present,suspected,none
sus intentional bromocriptine poisoning,290797003,intentional bromocriptine poisoning,4,39,present,suspected,none
prob monocular diplopia,50446000,monocular diplopia,5,23,present,suspected,none
exclude cutaneous tuberculous gumma,240382000,cutaneous tuberculous gumma,8,35,present,suspected,none
could have perinatal thyroid disorder,276564000,perinatal thyroid disorder,11,37,present,suspected,none
maybe infection caused by paragonimus,30369007,infection caused by paragonimus,6,37,present,suspected,none
pos infection caused by acuaria,86524007,infection caused by acuaria,4,31,present,suspected,none
may be acrania,203923004,acrania,7,14,present,suspected,none
quer choroid plexus cyst,230790004,choroid plexus cyst,5,24,present,suspected,none
possibly toxicodendron radicans poisoning,55970009,toxicodendron radicans poisoning,9,41,present,suspected,none
query benign neoplasm of stomach,92411005,benign neoplasm of stomach,6,32,present,suspected,none
exclude bilateral chronic serous otitis,194248004,bilateral chronic serous otitis,8,39,present,suspected,bilateral
could have fistula,428794004,fistula,11,18,present,suspected,none
? secondary optic atrophy,123615007,secondary optic atrophy,2,25,present,suspected,none
may be pyogenic arthritis of foot,6861003,pyogenic arthritis of foot,7,33,present,suspected,none
could have deficiency of inosinase,360866000,deficiency of inosinase,11,34,present,suspected,none
may edema of vulva,36311007,edema of vulva,4,18,present,suspected,none
delayed puberty suspected,400003000,delayed puberty,0,15,present,suspected,none
suspected discordant atrioventricular connection,253277003,discordant atrioventricular connection,10,48,present,suspected,none
may necrosis of flap,714176002,necrosis of flap,4,20,present,suspected,none
possible injury of lymphatic system,363183006,injury of lymphatic system,9,35,present,suspected,none
sus laceration of right eyelid,10874791000119106,laceration of right eyelid,4,30,present,suspected,right
suspicious disease caused by adenovirus,25225006,disease caused by adenovirus,11,39,present,suspected,none
possibly congenital hypoplastic anemia,88854002,congenital hypoplastic anemia,9,38,present,suspected,none
possibly amiloride adverse reaction,293473007,amiloride adverse reaction,9,35,present,suspected,none
probably acquired spastic flat foot,90374001,acquired spastic flat foot,9,35,present,suspected,none
query neutropaenic enterocolitis,240358005,neutropaenic enterocolitis,6,32,present,suspected,none
could have agenesis of femur,1003513006,agenesis of femur,11,28,present,suspected,none
could have bleeding gastric varices,24807004,bleeding gastric varices,11,35,present,suspected,none
exclude carcinoid crisis,237833006,carcinoid crisis,8,24,present,suspected,none
poss barber's pilonidal sinus,28039004,barber's pilonidal sinus,5,29,present,suspected,none
may be accidental phenoperidine poisoning,290209008,accidental phenoperidine poisoning,7,41,present,suspected,none
erythema nodosum migrans suspected,76097009,erythema nodosum migrans,0,24,present,suspected,none
susp candidiasis of lung,3487004,candidiasis of lung,5,24,present,suspected,none
body fluid retention suspected,43498006,body fluid retention,0,20,present,suspected,none
exclude late tooth eruption,5639000,late tooth eruption,8,27,present,suspected,none
likely hemangioma of intracranial structure,93468003,hemangioma of intracranial structure,7,43,present,suspected,none
query lobelia cardinalis poisoning,17040003,lobelia cardinalis poisoning,6,34,present,suspected,none
likely sowda,240841007,sowda,7,12,present,suspected,none
may be functional mitral regurgitation,233861004,functional mitral regurgitation,7,38,present,suspected,none
possible opiate antagonist overdose,296515004,opiate antagonist overdose,9,35,present,suspected,none
may accidental halothane poisoning,290513002,accidental halothane poisoning,4,34,present,suspected,none
pos keratoconjunctivitis of left eye,340191000119106,keratoconjunctivitis of left eye,4,36,present,suspected,left
may be injury of lacrimal passage,262751001,injury of lacrimal passage,7,33,present,suspected,none
ochratoxicosis suspected,111783009,ochratoxicosis,0,14,present,suspected,none
possible rotation of tooth,38089000,rotation of tooth,9,26,present,suspected,none
intra-abdominal hernia suspected,30477007,intra-abdominal hernia,0,22,present,suspected,none
probable panuveitis caused by virus,870329005,panuveitis caused by virus,9,35,present,suspected,none
query neuromuscular dislocation of joint,239755003,neuromuscular dislocation of joint,6,40,present,suspected,none
may chronic bullous emphysema,195957006,chronic bullous emphysema,4,29,present,suspected,none
suspicion of diversion colitis,51290000,diversion colitis,13,30,present,suspected,none
could be duodenal candidosis,840506008,duodenal candidosis,9,28,present,suspected,none
probably chemical burn of esophagus,12107971000119108,chemical burn of esophagus,9,35,present,suspected,none
suspect neoplasm of temporal lobe,126955002,neoplasm of temporal lobe,8,33,present,suspected,none
sus neoplasm of digestive tract,128415001,neoplasm of digestive tract,4,31,present,suspected,none
probably congenital hepatomegaly,407000,congenital hepatomegaly,9,32,present,suspected,none
suspected hypercalcemia due to immobilization,24052000,hypercalcemia due to immobilization,10,45,present,suspected,none
may fracture of ethmoid sinus,10859002,fracture of ethmoid sinus,4,29,present,suspected,none
probably self-inflicted trauma involving penis,403474003,self-inflicted trauma involving penis,9,46,present,suspected,none
drug-induced chronic pancreatitis suspected,235955000,drug-induced chronic pancreatitis,0,33,present,suspected,none
may be sweat gland duct dilatation,123638005,sweat gland duct dilatation,7,34,present,suspected,none
may be hand-schüller-christian disease,39795003,hand-schüller-christian disease,7,38,present,suspected,none
prob acute bronchitis,10509002,acute bronchitis,5,21,present,suspected,none
subcortical vascular dementia suspected,230286002,subcortical vascular dementia,0,29,present,suspected,none
acute herpes simplex pharyngitis suspected,232399005,acute herpes simplex pharyngitis,0,32,present,suspected,none
likely namaqualand hip dysplasia,254064009,namaqualand hip dysplasia,7,32,present,suspected,none
may congenital anomaly of femur,123561001,congenital anomaly of femur,4,31,present,suspected,none
prob costello syndrome,309776008,costello syndrome,5,22,present,suspected,none
maybe penetrating wound of lung,282726006,penetrating wound of lung,6,31,present,suspected,none
tenosynovitis of left wrist suspected,1075861000119103,tenosynovitis of left wrist,0,27,present,suspected,none
left femoral hernia suspected,15971541000119105,left femoral hernia,0,19,present,suspected,left
probably yersiniosis,83436008,yersiniosis,9,20,present,suspected,none
poss bartter syndrome type 4,700112007,bartter syndrome type 4,5,28,present,suspected,none
likely deficiency of transhydroxymethylase,124372000,deficiency of transhydroxymethylase,7,42,present,suspected,none
possibly secondary cutaneous vasculitis,238787009,secondary cutaneous vasculitis,9,39,present,suspected,none
probable macrotia,69056000,macrotia,9,17,present,suspected,none
protein s deficiency disease suspected,1563006,protein s deficiency disease,0,28,present,suspected,none
suspicion of luxation of eye,20842008,luxation of eye,13,28,present,suspected,none
suspicion of injury of left ureter,11801691000119103,injury of left ureter,13,34,present,suspected,left
intentional vindesine overdose suspected,295797001,intentional vindesine overdose,0,30,present,suspected,none
likely amanita species poisoning,42979006,amanita species poisoning,7,32,present,suspected,none
may elastosis senilis,73813001,elastosis senilis,4,21,present,suspected,none
may stenosis of urinary meatus,197919005,stenosis of urinary meatus,4,30,present,suspected,none
query biting of oral mucosa,235035004,biting of oral mucosa,6,27,present,suspected,none
maybe functional heartburn,722876002,functional heartburn,6,26,present,suspected,none
could be accidental vitamin d overdose,296954008,accidental vitamin d overdose,9,38,present,suspected,none
suspicious dicentra spectabilis poisoning,44173007,dicentra spectabilis poisoning,11,41,present,suspected,none
exclude deficiency of 3-hydroxyisobutyrate dehydrogenase,124119008,deficiency of 3-hydroxyisobutyrate dehydrogenase,8,56,present,suspected,none
susp cervical myelocystocele,203996001,cervical myelocystocele,5,28,present,suspected,none
sus congenital anoperineal fistula,75633002,congenital anoperineal fistula,4,34,present,suspected,none
suspicion of mucin tear deficiency,417123005,mucin tear deficiency,13,34,present,suspected,none
phencyclidine dependence suspected,58727001,phencyclidine dependence,0,24,present,suspected,none
pos fitz-hugh-curtis syndrome,237041005,fitz-hugh-curtis syndrome,4,29,present,suspected,none
may aplasia of testicle,702627001,aplasia of testicle,4,23,present,suspected,none
poss lumbosacral stenosis,370471003,lumbosacral stenosis,5,25,present,suspected,none
suspicious cluster a personality disorder,16805009,cluster a personality disorder,11,41,present,suspected,none
probably melanodermatitis toxica lichenoides,15488007,melanodermatitis toxica lichenoides,9,44,present,suspected,none
suspicious athyrotic hypothyroidism sequence,55838005,athyrotic hypothyroidism sequence,11,44,present,suspected,none
possibly superior rectal lymphadenopathy,127147002,superior rectal lymphadenopathy,9,40,present,suspected,none
likely compression injury of nerve,84116009,compression injury of nerve,7,34,present,suspected,none
possible chronic urinary tract infection,197928006,chronic urinary tract infection,9,40,present,suspected,none
poisoning caused by metaproterenol suspected,1837006,poisoning caused by metaproterenol,0,34,present,suspected,none
pos hypertrophy of scrotum,431005,hypertrophy of scrotum,4,26,present,suspected,none
probably familial isolated congenital asplenia,726708009,familial isolated congenital asplenia,9,46,present,suspected,none
suspected cerebrospinal fluid circulation disorder,2432006,cerebrospinal fluid circulation disorder,10,50,present,suspected,none
exclude abscess of cowper's gland,20025003,abscess of cowper's gland,8,33,present,suspected,none
pos torsion of ovary,13595002,torsion of ovary,4,20,present,suspected,none
quer cyst of mesentery,27970007,cyst of mesentery,5,22,present,suspected,none
probably arthritis following intestinal bypass,239790006,arthritis following intestinal bypass,9,46,present,suspected,none
suspicious atrophic vulva,248861000,atrophic vulva,11,25,present,suspected,none
may be neoplasm of occipital bone,126542008,neoplasm of occipital bone,7,33,present,suspected,none
nasopharyngeal diphtheria suspected,75589004,nasopharyngeal diphtheria,0,25,present,suspected,none
suspected epileptic drop attack,189198006,epileptic drop attack,10,31,present,suspected,none
possible functional amblyopia,387743001,functional amblyopia,9,29,present,suspected,none
possibly promontory lymphadenopathy,127164004,promontory lymphadenopathy,9,35,present,suspected,none
quer jejunal gangrene,95537002,jejunal gangrene,5,21,present,suspected,none
maybe dicephalus dipus tribrachius,7763004,dicephalus dipus tribrachius,6,34,present,suspected,none
suspect congenital obstruction of urethra,48980001,congenital obstruction of urethra,8,41,present,suspected,none
prob penicillium purpurogenum toxicosis,421240002,penicillium purpurogenum toxicosis,5,39,present,suspected,none
pos perifollicular petechiae of skin,719182002,perifollicular petechiae of skin,4,36,present,suspected,none
sus anomalous coronary artery communication,270510008,anomalous coronary artery communication,4,43,present,suspected,none
sus congenital pelvic kidney,56108007,congenital pelvic kidney,4,28,present,suspected,none
central cyanosis suspected,95837007,central cyanosis,0,16,present,suspected,none
quer pleuropulmonary blastoma type iii,707673006,pleuropulmonary blastoma type iii,5,38,present,suspected,none
susp simple chronic anemia,291262006,simple chronic anemia,5,26,present,suspected,none
probably epidural intracranial hemorrhage,82999001,epidural intracranial hemorrhage,9,41,present,suspected,none
likely intentional methotrexate overdose,295703006,intentional methotrexate overdose,7,40,present,suspected,none
probably adolescent idiopathic scoliosis,203646004,adolescent idiopathic scoliosis,9,40,present,suspected,none
sus selective immunoglobulin a deficiency,190979003,selective immunoglobulin a deficiency,4,41,present,suspected,none
could be lymphoid hyperplasia of appendix,70529004,lymphoid hyperplasia of appendix,9,41,present,suspected,none
possibly reflex urticaria,238693008,reflex urticaria,9,25,present,suspected,none
possible nandrolone overdose,296883007,nandrolone overdose,9,28,present,suspected,none
likely hypertyrosinemia,56595005,hypertyrosinemia,7,23,present,suspected,none
could be total failure replanted toes,213189009,total failure replanted toes,9,37,present,suspected,none
susp prochlorperazine adverse reaction,292398004,prochlorperazine adverse reaction,5,38,present,suspected,none
may be fibrosis of appendix,304529004,fibrosis of appendix,7,27,present,suspected,none
could be thoracic herpes zoster infection,240470005,thoracic herpes zoster infection,9,41,present,suspected,none
quer ring chromosome 15 syndrome,763405000,ring chromosome 15 syndrome,5,32,present,suspected,none
pos traumatic arthropathy of hip,201950002,traumatic arthropathy of hip,4,32,present,suspected,none
poss cyst of uterus,758002,cyst of uterus,5,19,present,suspected,none
injection site pigmentation change suspected,95380007,injection site pigmentation change,0,34,present,suspected,none
may be granulomatous mediastinitis,233739001,granulomatous mediastinitis,7,34,present,suspected,none
prob hand rheumatism,203106009,hand rheumatism,5,20,present,suspected,none
neoplasm of presacral region suspected,126646002,neoplasm of presacral region,0,28,present,suspected,none
suspicion of erythrodermic seborrheic dermatitis,402205005,erythrodermic seborrheic dermatitis,13,48,present,suspected,none
likely gonococcal conjunctivitis neonatorum,28438004,gonococcal conjunctivitis neonatorum,7,43,present,suspected,none
possibly itching purpura,238781005,itching purpura,9,24,present,suspected,none
could be acute nontransmural myocardial infarction,1089451000000100,acute nontransmural myocardial infarction,9,50,present,suspected,none
? juvenile elastoma,277812008,juvenile elastoma,2,19,present,suspected,none
suspect adhesion of abdominal wall,30689000,adhesion of abdominal wall,8,34,present,suspected,none
equisetum palustre poisoning suspected,8779001,equisetum palustre poisoning,0,28,present,suspected,none
may be tenosynovitis of left wrist,1075861000119103,tenosynovitis of left wrist,7,34,present,suspected,none
suspicion of cochlear otosclerosis,91108004,cochlear otosclerosis,13,34,present,suspected,none
query internal gastric fistula,235672009,internal gastric fistula,6,30,present,suspected,none
may be closed injury sciatic nerve,212311000,closed injury sciatic nerve,7,34,present,suspected,none
suspected tendinitis of bilateral hands,15630731000119102,tendinitis of bilateral hands,10,39,present,suspected,bilateral
suspicious hypertrophic meckel's diverticulum,204688002,hypertrophic meckel's diverticulum,11,45,present,suspected,none
poss pharyngoesophageal diverticulum,399291005,pharyngoesophageal diverticulum,5,36,present,suspected,none
susp suppurative osteomyelitis of jaw,84224006,suppurative osteomyelitis of jaw,5,37,present,suspected,none
probable proliferative retinopathy,430801000124103,proliferative retinopathy,9,34,present,suspected,none
susp wood splinter under thumbnail,283296006,wood splinter under thumbnail,5,34,present,suspected,none
poss apical callus,229810006,apical callus,5,18,present,suspected,none
aortopulmonary window suspected,17024001,aortopulmonary window,0,21,present,suspected,none
could be duodenal gastric metaplasia,897291000000102,duodenal gastric metaplasia,9,36,present,suspected,none
pos diminished ovarian reserve,31351000119105,diminished ovarian reserve,4,30,present,suspected,none
